,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar100,68.64444444444445,82.82252530864197,82.54744242412825,83.07431143562438,95.22222222222221
tin,40.46666666666667,91.33164663444401,92.13663006285702,90.58728236172998,95.22222222222221
nearood,54.55555555555556,87.07708597154299,87.34203624349264,86.83079689867719,95.22222222222221
mnist,12.755555555555556,97.64941404761906,88.6707784733619,99.66753423791491,95.22222222222221
svhn,24.288888888888888,93.72883801133646,88.67085089628989,97.03976136908061,95.22222222222221
texture,61.55555555555555,91.30658490937746,92.62841450225528,90.6024890614963,95.22222222222221
places365,27.77777777777778,94.23354627393412,84.66943414719714,98.28934364156592,95.22222222222221
farood,31.59444444444445,94.22959581056678,88.65986950477605,96.39978207751443,95.22222222222221
