,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar100,50.13333333333333,87.85992222222222,87.74066626208436,87.6146659666983,95.22222222222221
tin,28.933333333333334,93.77754751415087,94.64608195761114,92.76395687126544,95.22222222222221
nearood,39.53333333333333,90.81873486818654,91.19337410984775,90.18931141898186,95.22222222222221
mnist,11.3,97.7071834920635,91.1893682888908,99.64565592112045,95.22222222222221
svhn,8.722222222222223,97.93118213480842,96.0705166874601,99.05439578348958,95.22222222222221
texture,35.044444444444444,94.20249605988967,95.04766890432114,93.33421652023333,95.22222222222221
places365,32.300000000000004,93.61300437246452,82.39690168839842,98.13581974813327,95.22222222222221
farood,21.841666666666665,95.86346651480653,91.17611389226761,97.54252199324415,95.22222222222221
