,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar10,71.93333333333334,72.21739888888888,72.11600510648175,69.41949859403051,77.16666666666666
tin,44.266666666666666,87.89481901454013,91.40968664504314,82.86172626015458,77.16666666666666
nearood,58.099999999999994,80.0561089517145,81.76284587576244,76.14061242709255,77.16666666666666
mnist,17.133333333333333,95.94730206349206,86.32258342211155,99.32871730718583,77.16666666666666
svhn,27.78888888888889,91.2018453783378,86.08318825894025,95.4518126618924,77.16666666666666
texture,70.94444444444444,82.53412529550826,85.20029983229493,77.02191398043097,77.16666666666666
places365,50.15555555555555,85.39645953210486,69.02364281141034,94.76682371954671,77.16666666666666
farood,41.50555555555556,88.76993306736074,81.65742858118927,91.64231691726397,77.16666666666666
