,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar10,73.64444444444445,73.57496777777777,72.53381224516653,71.71256575859857,77.16666666666666
tin,46.56666666666667,85.74406051009638,90.08126204334886,78.94656066942972,77.16666666666666
nearood,60.105555555555554,79.65951414393709,81.3075371442577,75.32956321401414,77.16666666666666
mnist,28.244444444444444,92.93229253968254,78.37963189225535,98.7788526871107,77.16666666666666
svhn,40.15555555555556,87.48865712285733,79.37482151766262,93.9118905711952,77.16666666666666
texture,71.32222222222222,80.69008963750986,84.35289335975989,72.32187623183954,77.16666666666666
places365,52.55555555555556,83.35499955585823,66.08559030396819,93.72169028438567,77.16666666666666
farood,48.06944444444444,86.11650971397698,77.0482342684115,89.68357744363277,77.16666666666666
