,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar10,75.0111111111111,70.43694333333333,70.17036193487067,67.61640930642399,77.16666666666666
tin,43.544444444444444,88.44839956413661,91.63994935649345,83.73140080548674,77.16666666666666
nearood,59.27777777777777,79.44267144873497,80.90515564568206,75.67390505595537,77.16666666666666
mnist,7.533333333333333,98.37993738095237,92.60963939879187,99.74926688274243,77.16666666666666
svhn,25.7,92.44031192378613,87.76643262403823,96.21533230937807,77.16666666666666
texture,75.07777777777778,83.01157013396376,85.00944733602157,79.12343499063893,77.16666666666666
places365,52.166666666666664,84.67203305072756,66.16094801205857,94.50875131742927,77.16666666666666
farood,40.11944444444444,89.62596312235746,82.88661684272756,92.39919637504718,77.16666666666666
