,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,75.34444444444445,71.86158140589569,35.77021378124975,91.80784375440284,83.64444444444445
ninco,64.75555555555556,77.07777399784544,84.62236178846385,64.30725305469076,83.64444444444445
nearood,70.05,74.46967770187057,60.19628778485681,78.0575484045468,83.64444444444445
inaturalist,48.05555555555556,83.9210311111111,85.1555710045573,81.16741155550955,83.64444444444445
textures,41.11111111111111,92.13747631352284,94.28757003353472,88.02480785951337,83.64444444444445
openimage_o,60.43333333333333,80.29680369133392,73.11202957738242,86.10118326940925,83.64444444444445
farood,49.86666666666667,85.45177037198928,84.18505687182481,85.09780089481072,83.64444444444445
