,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar100,34.28888888888889,91.13149753086421,91.71803933027304,90.01340089582447,95.32222222222222
tin,16.68888888888889,96.11578339535481,96.92901365092905,95.09864055820346,95.32222222222222
nearood,25.488888888888887,93.62364046310951,94.32352649060105,92.55602072701396,95.32222222222222
mnist,5.322222222222222,98.6526765079365,95.1640821286917,99.77189012643505,95.32222222222222
svhn,5.633333333333333,98.67183594550298,97.60281468690832,99.39689274476477,95.32222222222222
texture,12.344444444444443,97.64964342001576,98.35007276196053,96.81176320489504,95.32222222222222
places365,16.377777777777776,96.47611403134916,91.23319229967673,98.9325467000393,95.32222222222222
farood,9.919444444444444,97.86256747620111,95.58754046930933,98.72827319403355,95.32222222222222
