,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar10,72.53333333333333,71.20404555555555,71.64514694727524,68.77557669544468,77.16666666666666
tin,42.81111111111111,88.54125123437873,91.69044925171359,83.98312070218637,77.16666666666666
nearood,57.672222222222224,79.87264839496714,81.66779809949442,76.37934869881553,77.16666666666666
mnist,12.266666666666666,96.9844053968254,89.0456189582443,99.47314622559979,77.16666666666666
svhn,24.655555555555555,92.33358814792051,87.949793486011,96.07961706871887,77.16666666666666
texture,76.46666666666667,82.36929669030732,84.01258261743247,77.99435973219929,77.16666666666666
places365,53.63333333333333,84.54870030958325,65.59505976628772,94.58344766632099,77.16666666666666
farood,41.75555555555556,89.05899763615912,81.65076370699387,92.03264267320974,77.16666666666666
