,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar100,93.95555555555556,29.086445061728394,42.787103672498475,36.89026189047172,95.22222222222221
tin,93.07777777777778,27.406235653078966,45.97265625789305,33.22274629689073,95.22222222222221
nearood,93.51666666666667,28.246340357403675,44.37987996519577,35.05650409368123,95.22222222222221
mnist,93.07777777777778,17.327959523809525,12.612493911789466,75.51513210887481,95.22222222222221
svhn,100.0,7.700961210134534,16.680064442086923,54.19532699290694,95.22222222222221
texture,96.1888888888889,18.32423463356974,47.75648619417116,24.87252833402592,95.22222222222221
places365,92.37777777777778,29.561461539675765,19.810320679795158,67.39358018634667,95.22222222222221
farood,95.41111111111111,18.228654226797392,24.21484130696068,55.494141905538584,95.22222222222221
