,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar100,42.27777777777778,89.90992345679012,90.07485387451845,89.2280002504321,95.22222222222221
tin,21.099999999999998,95.38290987638479,96.14357208169918,94.41995176107538,95.22222222222221
nearood,31.68888888888889,92.64641666658746,93.10921297810881,91.82397600575374,95.22222222222221
mnist,5.233333333333333,98.93479325396825,95.73261063620888,99.840503605969,95.22222222222221
svhn,7.677777777777778,98.08661199037084,96.38422912704203,99.14299026549877,95.22222222222221
texture,28.733333333333334,94.72053092986603,95.56032429237717,93.61324661770317,95.22222222222221
places365,15.544444444444444,96.50530615144197,91.29465377263654,98.92670998071507,95.22222222222221
farood,14.297222222222222,97.06181058141176,94.74295445706615,97.88086261747151,95.22222222222221
