,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar100,34.699999999999996,91.2210024691358,91.56915464150914,90.24254457419818,94.64444444444445
tin,15.688888888888888,96.55764218600739,97.21014697970809,95.64110105783286,94.64444444444445
nearood,25.194444444444443,93.88932232757159,94.38965081060861,92.94182281601552,94.64444444444445
mnist,1.3333333333333335,99.59994690476191,97.7120286433361,99.93450217809381,94.64444444444445
svhn,3.8666666666666667,99.12973861230621,98.28018332053429,99.59786826742896,94.64444444444445
texture,11.722222222222223,97.45863278171788,97.95314477545418,96.7501553077965,94.64444444444445
places365,17.1,96.41066265725875,90.93952323347881,98.89682208039517,94.64444444444445
farood,8.505555555555555,98.14974523901118,96.22121999320083,98.79483695842862,94.64444444444445
