,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar100,32.13333333333333,91.75772716049383,92.3062478519418,90.64078702591175,95.22222222222221
tin,17.5,95.8425788100432,96.66953652072164,94.75436659001313,95.22222222222221
nearood,24.816666666666666,93.80015298526851,94.4878921863317,92.69757680796245,95.22222222222221
mnist,2.677777777777778,99.46356761904762,97.76264271415327,99.92217397119109,95.22222222222221
svhn,6.1,98.4035759407225,97.1778693054251,99.26857680430106,95.22222222222221
texture,14.766666666666667,97.04596138691883,98.0735061143547,95.7039282425869,95.22222222222221
places365,16.22222222222222,96.3605979384698,91.07119401712191,98.8868053169013,95.22222222222221
farood,9.941666666666666,97.81842572128969,96.02130303776374,98.44537108374509,95.22222222222221
