,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar10,100.0,63.80501500000001,68.0902505338993,63.964888600167214,77.16666666666666
tin,100.0,74.17371454353527,81.15499208698755,68.30765608640986,77.16666666666666
nearood,100.0,68.98936477176764,74.62262131044342,66.13627234328854,77.16666666666666
mnist,42.9,88.7230542857143,64.85695243079891,97.98863725787666,77.16666666666666
svhn,100.0,74.68156649081475,60.75761278517994,86.13652352316828,77.16666666666666
texture,100.0,61.95385736800632,76.30232713879411,53.971153480560815,77.16666666666666
places365,100.0,75.50331773902231,54.72251089753767,91.32990807341459,77.16666666666666
farood,85.72500000000001,75.21544897088943,64.15985081307765,82.35655558375508,77.16666666666666
