,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,94.47209302325581,45.44284359278595,45.139142583464306,48.355116187684445,42.18604651162791
ninco,90.92558139534884,52.37335490531929,89.52149883921443,12.029806004789256,42.18604651162791
nearood,92.69883720930233,48.90809924905262,67.33032071133937,30.19246109623685,42.18604651162791
inaturalist,76.63953488372093,64.0579126744186,89.40222728528143,23.91810689458489,42.18604651162791
textures,59.09534883720931,85.10797390481342,97.53231997690604,46.2660447104415,42.18604651162791
openimage_o,89.68372093023255,55.93049246226737,77.76672781644679,31.70844492736226,42.18604651162791
farood,75.13953488372094,68.3654596804998,88.23375835954475,33.96419884412955,42.18604651162791
