,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,86.61111111111111,62.716124376417234,24.354286029465406,88.87971277492329,83.64444444444445
ninco,78.34444444444445,70.3288956927671,78.16900630475389,57.63959918611956,83.64444444444445
nearood,82.47777777777779,66.52251003459217,51.26164616710965,73.25965598052142,83.64444444444445
inaturalist,60.544444444444444,79.35499277777778,79.70874384167217,76.62128456605694,83.64444444444445
textures,29.366666666666667,94.06922049956933,95.82785137728187,90.11898940418604,83.64444444444445
openimage_o,76.48888888888888,73.58346566681371,61.1324681379229,82.13403004911355,83.64444444444445
farood,55.466666666666676,82.33589298138693,78.88968778562564,82.9581013397855,83.64444444444445
