,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar10,71.41111111111111,74.1123188888889,74.22556592390076,71.6841113074617,77.16666666666666
tin,40.03333333333333,88.2789576735792,91.99976511245183,82.76719582500743,77.16666666666666
nearood,55.72222222222223,81.19563828123404,83.11266551817629,77.22565356623457,77.16666666666666
mnist,41.53333333333333,86.39022865079366,66.32044574695766,97.26231688194848,77.16666666666666
svhn,29.888888888888886,92.49222217953971,86.01076903476508,96.76768747283705,77.16666666666666
texture,80.28888888888889,76.09344562647755,80.61819867690357,66.7835875591054,77.16666666666666
places365,50.477777777777774,83.66627664439379,67.58648160433545,93.7074331478911,77.16666666666666
farood,50.547222222222224,84.66054327530117,75.13397376574044,88.63025626544551,77.16666666666666
