,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,93.55116279069767,46.471781632653055,46.50702222246773,48.6597683239208,42.353488372093025
ninco,89.88139534883722,51.76104206141687,89.7319024336265,11.614550834692226,42.353488372093025
nearood,91.71627906976745,49.11641184703497,68.1194623280471,30.137159579306516,42.353488372093025
inaturalist,76.87441860465117,59.38330360465116,88.19403822595663,20.629711193495325,42.353488372093025
textures,54.360465116279066,85.52400238867857,97.74612751038919,43.6672950530326,42.353488372093025
openimage_o,85.68604651162791,58.66040312617697,80.27093117680624,32.54715096770995,42.353488372093025
farood,72.30697674418604,67.85590303983557,88.73703230438402,32.28138573807929,42.353488372093025
