,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,75.5111111111111,71.32486950113379,35.02731315686003,91.63883650564122,83.6888888888889
ninco,62.988888888888894,76.96141728563059,84.81505237597091,63.965871086497096,83.6888888888889
nearood,69.25,74.14314339338219,59.92118276641547,77.80235379606916,83.6888888888889
inaturalist,51.388888888888886,81.03463277777779,82.94076017321244,77.63965822168954,83.6888888888889
textures,45.44444444444444,91.69352174849269,93.9434377774189,88.3312531121662,83.6888888888889
openimage_o,61.77777777777778,79.09519258372369,71.9769019221702,85.42517533925866,83.6888888888889
farood,52.87037037037037,83.94111570333139,82.95369995760052,83.7986955577048,83.6888888888889
