,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,93.08372093023256,43.034003986710964,44.904375035993546,46.77137634099982,42.15348837209302
ninco,87.95116279069768,49.04190239599362,89.37659346816334,11.073804238960014,42.15348837209302
nearood,90.51744186046513,46.037953191352294,67.14048425207844,28.922590289979915,42.15348837209302
inaturalist,79.59767441860464,54.19870488372093,86.24659943241154,18.72910585805812,42.15348837209302
textures,66.53953488372093,78.9806388588426,96.62385506852985,32.68802555643771,42.15348837209302
openimage_o,85.96279069767442,54.638175351387154,78.60284379811115,29.38227512302457,42.15348837209302
farood,77.36666666666666,62.605839697983555,87.15776609968418,26.933135512506794,42.15348837209302
