,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar100,39.022222222222226,89.77165617283951,90.35285627749907,88.50834801241867,94.63333333333334
tin,18.022222222222222,95.77071445884484,96.62330190460435,94.67114248222967,94.63333333333334
nearood,28.522222222222226,92.77118531584216,93.48807909105172,91.58974524732417,94.63333333333334
mnist,3.277777777777778,99.11396674603175,96.4830882860425,99.83992101462987,94.63333333333334
svhn,4.866666666666666,98.64559132349927,97.80021121773696,99.23205994509978,94.63333333333334
texture,14.899999999999999,97.01087864460204,97.68590455582276,96.1919637940745,94.63333333333334
places365,17.477777777777778,96.22695916402266,90.34741036047929,98.85016075901974,94.63333333333334
farood,10.130555555555556,97.74934896953893,95.57915360502037,98.52852637820597,94.63333333333334
