,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,75.34444444444445,71.79338741496599,35.20414783287178,91.8076289220051,83.6888888888889
ninco,64.5111111111111,77.09251289901911,84.71875756734556,64.11731601601598,83.6888888888889
nearood,69.92777777777778,74.44295015699257,59.96145270010867,77.96247246901054,83.6888888888889
inaturalist,49.144444444444446,82.22024166666667,84.074737433961,78.24336101638225,83.6888888888889
textures,37.955555555555556,92.74033053402239,95.07862655298031,88.95147193077698,83.6888888888889
openimage_o,60.77777777777777,79.48099649211251,72.61743891780146,85.49135290542146,83.6888888888889
farood,49.29259259259259,84.81385623093387,83.9236009682476,84.22872861752691,83.6888888888889
