,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar100,100.0,71.37276666666666,71.08353550120654,72.47960535560638,13.28888888888889
tin,0.2222222222222222,99.93074197641758,99.94503045878538,99.91383980232231,13.28888888888889
nearood,50.11111111111111,85.65175432154213,85.51428297999597,86.19672257896434,13.28888888888889
mnist,0.4333333333333333,99.91936476190477,99.57491861833311,99.98909938889788,13.28888888888889
svhn,1.588888888888889,99.64415697773681,99.24062980365711,99.85237954102692,13.28888888888889
texture,62.44444444444445,88.99768518518518,91.08915247320584,87.59346122381272,13.28888888888889
places365,58.94444444444444,84.97175608909095,63.3145337326375,95.153752093875,13.28888888888889
farood,30.852777777777778,93.38324075347943,88.30480865695839,95.64717306190313,13.28888888888889
