,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar10,90.65555555555555,57.61099777777778,54.8981649317962,57.687984062000176,77.18888888888888
tin,57.733333333333334,84.0860872748323,87.74635820645136,78.62276569742046,77.18888888888888
nearood,74.19444444444446,70.84854252630504,71.32226156912378,68.15537487971032,77.18888888888888
mnist,7.244444444444445,98.41356341269844,93.83727624193017,99.7500277241811,77.18888888888888
svhn,18.566666666666666,94.5109869050058,91.18978295800952,96.8755500543551,77.18888888888888
texture,87.54444444444445,79.71153368794326,79.59445987161413,77.4792839551415,77.18888888888888
places365,66.54444444444444,80.660472369447,55.522283350696135,93.31252195312878,77.18888888888888
farood,44.975,88.32413909377361,80.03595060556249,91.85434592170164,77.18888888888888
