,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar10,100.0,66.4295738888889,68.65865708642205,65.38738323881708,77.16666666666666
tin,100.0,81.47917390267988,85.7985333778289,76.41747889887058,77.16666666666666
nearood,100.0,73.95437389578439,77.22859523212549,70.90243106884382,77.16666666666666
mnist,43.56666666666666,88.1190661111111,63.88453860285106,97.81512946558104,77.16666666666666
svhn,49.7,83.15456147988797,71.65542473093295,91.04545901389147,77.16666666666666
texture,100.0,73.07627364066194,81.1132373570847,65.87959024540612,77.16666666666666
places365,100.0,81.38712663304351,60.921521358436195,93.40638067215221,77.16666666666666
farood,73.31666666666666,81.43425696617612,69.39368051232623,87.03663984925771,77.16666666666666
