prot_i,AUROC-nearood,FPR95-nearood,AUROC-farood,FPR95-farood
16,-7.215903317754631,5.2777777777777715,-21.760546804006424,14.530555555555551
6,-5.952743587274838,2.8999999999999915,-21.557442814954413,13.24444444444444
8,-5.232156595668599,3.2777777777777715,-25.61601841370821,14.64722222222224
12,-5.121644121122344,2.811111111111103,-24.449422420769636,15.777777777777786
10,-4.567120360268319,2.99444444444444,-15.067170654569104,7.675000000000011
4,-4.405153553733783,1.9833333333333343,-26.56996467164479,18.052777777777777
13,-4.268080188732242,3.322222222222223,-24.131984008130367,13.655555555555566
7,-4.1155168153028825,2.422222222222203,-26.60307548985655,17.047222222222246
15,-4.078871431623924,2.3499999999999943,-19.058460208856047,11.091666666666683
0,-3.716644587291853,2.5833333333333286,-24.043084345312536,14.152777777777786
11,-3.010650922549111,3.622222222222206,1.9797974716610582,-3.7361111111111143
3,-2.708649105884149,2.1111111111111,-19.988550150371303,11.644444444444446
5,-2.5850333315456098,2.48333333333332,-4.015247646564248,5.916666666666686
9,-2.1596026049647605,2.0777777777777686,-17.476621812834964,10.477777777777789
14,-1.9818257530561425,1.5666666666666629,-23.314172059379707,13.102777777777774
17,-1.7263604571457734,1.7111111111111086,-25.05190257016379,14.811111111111131
2,-0.9380411717233557,0.6833333333333229,-18.836105228448083,10.997222222222234
1,-0.6696628995130567,1.9500000000000028,-3.530302812223937,5.708333333333343
18,-0.5840099501991887,0.8222222222222229,-10.816031857994943,8.241666666666674
19,-0.35253307930669564,1.23333333333332,-11.318215456506607,9.950000000000003
