,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar10,73.74444444444444,71.640955,71.14124533162315,69.39270214774727,77.18888888888888
tin,43.25555555555556,88.24989869581505,91.56642945730376,83.35333652495036,77.18888888888888
nearood,58.5,79.94542684790753,81.35383739446345,76.37301933634882,77.18888888888888
mnist,15.07777777777778,96.2394719047619,87.98344621959234,99.37990755028817,77.18888888888888
svhn,38.12222222222223,87.92010346240525,80.3685473250791,93.80895125161639,77.18888888888888
texture,61.7,83.8778319542947,88.02283999454289,77.8388872056706,77.18888888888888
places365,53.04444444444445,84.49171149208605,66.12587939698314,94.47389842495231,77.18888888888888
farood,41.986111111111114,88.13227970338698,80.62517823404937,91.37541110813186,77.18888888888888
