,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar100,32.922222222222224,91.92347407407408,92.25492220057467,91.12043710754048,95.32222222222222
tin,14.222222222222221,96.70450047763661,97.3548470383673,95.84498860996393,95.32222222222222
nearood,23.572222222222223,94.31398727585534,94.80488461947098,93.48271285875221,95.32222222222222
mnist,5.788888888888889,98.80152055555557,94.97492087195995,99.81278928650484,95.32222222222222
svhn,5.21111111111111,98.86094230178243,97.77726629565284,99.50673811326664,95.32222222222222
texture,11.755555555555555,97.81731087470449,98.48926591699676,96.98895653026145,95.32222222222222
places365,14.733333333333334,96.66580511751984,91.85149504811778,98.97132753015715,95.32222222222222
farood,9.372222222222222,98.03639471239059,95.77323703318183,98.81995286504751,95.32222222222222
