,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar100,32.81111111111111,91.63949629629629,92.18287026106599,90.57342326736193,95.22222222222221
tin,16.03333333333333,96.27119779859417,96.99730100434036,95.335931759884,95.22222222222221
nearood,24.422222222222224,93.95534704744523,94.59008563270316,92.95467751362297,95.22222222222221
mnist,4.555555555555555,98.96422944444446,95.93875001555429,99.8378843243753,95.22222222222221
svhn,7.277777777777778,98.3897282404562,96.89295843745134,99.30222190571173,95.22222222222221
texture,15.066666666666666,97.10782899921197,98.05544012285085,95.97178626732465,95.22222222222221
places365,15.577777777777776,96.60752363814304,91.61889544491295,98.96243586890726,95.22222222222221
farood,10.619444444444445,97.76732758056392,95.62651100519236,98.51858209157973,95.22222222222221
