,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,76.35555555555555,72.66852993197278,34.63846630998395,92.0544321816315,83.67777777777778
ninco,60.0,78.70112736482015,86.0042958031019,65.1344821604182,83.67777777777778
nearood,68.17777777777778,75.68482864839648,60.32138105654292,78.59445717102484,83.67777777777778
inaturalist,46.21111111111111,83.29562166666668,85.36900968180633,78.730135418583,83.67777777777778
textures,30.033333333333335,93.87914190353143,95.95351641848929,90.1188106651741,83.67777777777778
openimage_o,62.37777777777778,79.84900364792293,72.1433606085017,85.80823969939561,83.67777777777778
farood,46.20740740740741,85.67458907270704,84.48862890293243,84.88572859438422,83.67777777777778
