,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar10,100.0,69.16313611111111,70.19807816323703,66.64989783187292,77.16666666666666
tin,54.300000000000004,84.93497207750195,88.6763127851416,79.59074928737463,77.16666666666666
nearood,77.15,77.04905409430654,79.43719547418931,73.12032355962378,77.16666666666666
mnist,25.4,93.49383833333334,79.32374148479695,98.8748143468942,77.16666666666666
svhn,24.955555555555556,93.99928933620158,88.65966175976705,97.42497143210392,77.16666666666666
texture,100.0,76.2552058707644,82.18692689709476,69.6397879051335,77.16666666666666
places365,54.97777777777778,83.22920890125906,64.28369600187412,93.97733186413444,77.16666666666666
farood,51.33333333333333,86.7443856103896,78.61350653588322,89.9792263870665,77.16666666666666
