,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar100,32.955555555555556,91.76562345679011,92.12079577597424,90.78063814691448,95.22222222222221
tin,14.844444444444443,96.55503942284386,97.2357950006108,95.62783228811685,95.22222222222221
nearood,23.9,94.16033143981699,94.67829538829253,93.20423521751566,95.22222222222221
mnist,1.2555555555555555,99.72589603174605,98.77809762995906,99.96060749984188,95.22222222222221
svhn,3.888888888888889,98.95978304479956,98.1551975809512,99.52520210602253,95.22222222222221
texture,13.166666666666666,97.28130023640662,98.09239798922277,96.29238095687003,95.22222222222221
places365,14.58888888888889,96.65099303878392,92.03344347836696,98.95342577009089,95.22222222222221
farood,8.225,98.15449308793404,96.76478416962499,98.68290408320635,95.22222222222221
