,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar10,100.0,53.66120999999999,63.52895905629586,55.33429391828692,77.16666666666666
tin,100.0,53.3854419927129,70.94323662762814,45.64045199943541,77.16666666666666
nearood,100.0,53.523325996356455,67.236097841962,50.487372958861165,77.16666666666666
mnist,100.0,40.414116111111106,34.69075990158238,82.65536161136701,77.16666666666666
svhn,100.0,38.26225969746637,43.34693160303211,64.04704076192635,77.16666666666666
texture,100.0,46.045902285263985,70.58414038846618,38.7132226508685,77.16666666666666
places365,100.0,51.62785640732076,43.36117371112388,79.83976876715,77.16666666666666
farood,100.0,44.087533625290554,47.99575140105114,66.31384844782798,77.16666666666666
