,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar10,76.25555555555556,69.92495833333334,69.43703829589406,67.38574089847019,77.16666666666666
tin,46.25555555555555,87.69391323594512,90.92370721995857,83.05150494349216,77.16666666666666
nearood,61.25555555555555,78.80943578463923,80.1803727579263,75.21862292098118,77.16666666666666
mnist,20.922222222222224,95.59746785714286,82.70375997116757,99.32661397301047,77.16666666666666
svhn,24.944444444444443,92.6564638393772,87.86355318076197,96.40468602055178,77.16666666666666
texture,77.38888888888889,80.88143321513003,84.16439600512146,75.63859801442098,77.16666666666666
places365,54.800000000000004,83.89280210687696,64.00989343555369,94.30383961434401,77.16666666666666
farood,44.513888888888886,88.25704175463176,79.68540064815117,91.41843440558182,77.16666666666666
