,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar100,32.266666666666666,91.84031913580247,92.38148226456518,90.82127791721493,95.22222222222221
tin,16.177777777777777,96.32054692958067,97.05247951167287,95.3880305405356,95.22222222222221
nearood,24.22222222222222,94.08043303269157,94.71698088811902,93.10465422887526,95.22222222222221
mnist,3.0555555555555554,99.31369166666667,97.11156063806631,99.89742733377935,95.22222222222221
svhn,5.611111111111111,98.72077421805642,97.58118259120442,99.4525005553447,95.22222222222221
texture,14.766666666666667,97.10426516942474,98.08239347361044,95.86231165865213,95.22222222222221
places365,15.033333333333335,96.71944894318953,91.81840427387291,99.00124658007363,95.22222222222221
farood,9.616666666666667,97.96454499933434,96.14838524418853,98.55337153196245,95.22222222222221
