,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar100,30.177777777777777,92.8381549382716,92.95216786393456,92.44830167312293,95.22222222222221
tin,13.122222222222222,97.03995323438414,97.63039163958085,96.24313449460098,95.22222222222221
nearood,21.65,94.93905408632787,95.29127975175771,94.34571808386195,95.22222222222221
mnist,7.677777777777778,98.3317038095238,94.01601945709986,99.72522618488601,95.22222222222221
svhn,5.722222222222222,98.51622490268387,97.4825835630649,99.28594746376238,95.22222222222221
texture,13.455555555555557,97.0245744680851,98.10291736747814,95.33372581112684,95.22222222222221
places365,13.28888888888889,97.04812220801567,92.83944530537961,99.0948841074949,95.22222222222221
farood,10.036111111111111,97.73015634707711,95.61024142325563,98.35994589181755,95.22222222222221
