,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,75.75555555555556,72.53329739229025,35.59046815790932,92.09513261701453,83.64444444444445
ninco,61.32222222222222,78.20578991136058,85.73117160020021,65.04943852826864,83.64444444444445
nearood,68.53888888888888,75.36954365182542,60.66081987905476,78.57228557264158,83.64444444444445
inaturalist,45.96666666666667,83.86197055555556,85.50217763801471,80.39407180203185,83.64444444444445
textures,26.322222222222223,94.26753122308354,96.49225089882829,90.20990498809437,83.64444444444445
openimage_o,58.166666666666664,80.93065480566582,74.6354016833323,86.25678263780158,83.64444444444445
farood,43.48518518518518,86.35338552810164,85.54327674005845,85.6202531426426,83.64444444444445
