,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,83.89999999999999,66.45352766439909,27.73102031808418,90.06249465193319,83.67777777777778
ninco,76.06666666666668,71.82407249910227,79.60797239910286,57.849686766853246,83.67777777777778
nearood,79.98333333333333,69.13880008175069,53.66949635859353,73.95609070939322,83.67777777777778
inaturalist,54.56666666666666,79.75923166666665,81.65142046338678,74.97472864430873,83.67777777777778
textures,27.96666666666667,94.14620585701982,96.23812822646612,89.67808436942481,83.67777777777778
openimage_o,68.36666666666666,76.93569082977993,67.60076628340353,83.67351692982373,83.67777777777778
farood,50.3,83.61370945115546,81.83010499108546,82.7754433145191,83.67777777777778
