,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar10,77.35555555555555,70.3916361111111,69.42934271976708,68.05116078728703,77.16666666666666
tin,42.4,88.74265076446352,91.95792771744166,84.18823000609137,77.16666666666666
nearood,59.87777777777777,79.56714343778731,80.69363521860437,76.1196953966892,77.16666666666666
mnist,9.555555555555555,97.55767523809523,91.77774785343587,99.56438457513106,77.16666666666666
svhn,21.933333333333334,93.87184853684354,89.91926487163087,97.06426534601697,77.16666666666666
texture,77.35555555555555,82.03802994483847,83.12184861396676,77.65549731249965,77.16666666666666
places365,54.62222222222223,84.33142993910323,65.45944128867627,94.49606658354209,77.16666666666666
farood,40.86666666666666,89.44974591472013,82.56957565692746,92.19505345429745,77.16666666666666
