,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar10,77.67777777777778,71.66300722222223,68.79730304347437,69.24812269925502,77.16666666666666
tin,42.15555555555556,88.43603364320495,91.86478772666533,83.42417186582152,77.16666666666666
nearood,59.916666666666664,80.04952043271358,80.33104538506986,76.33614728253826,77.16666666666666
mnist,24.4,92.72106920634921,80.06332559605933,98.63072127358808,77.16666666666666
svhn,21.61111111111111,93.79628128628013,89.75795992470998,97.00358512933514,77.16666666666666
texture,68.88888888888889,83.10131993695823,85.72899525779495,77.36860411410844,77.16666666666666
places365,50.911111111111104,84.37359462029168,67.88195664752872,94.27956745183268,77.16666666666666
farood,41.452777777777776,88.4980662624698,80.85805935652324,91.82061949221608,77.16666666666666
