,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar10,70.74444444444444,72.96206277777777,72.8103739034648,70.60728696957965,77.18888888888888
tin,43.77777777777778,88.17066009466407,91.50850604308893,83.17631472494917,77.18888888888888
nearood,57.261111111111106,80.56636143622093,82.15943997327686,76.8918008472644,77.18888888888888
mnist,18.96666666666667,94.87634015873016,84.61087854763223,99.11513238942892,77.18888888888888
svhn,37.422222222222224,87.88637574267567,80.85150771038849,93.68034035918245,77.18888888888888
texture,68.91111111111111,82.82254826635145,85.58617669084428,77.19242435518137,77.18888888888888
places365,50.411111111111104,85.27496274144039,68.83555497283459,94.71711507687333,77.18888888888888
farood,43.92777777777778,87.71505672729943,79.9710294804249,91.17625304516652,77.18888888888888
