,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar10,92.71111111111111,56.37447666666666,52.91609657658915,56.75384806747677,77.37777777777778
tin,56.666666666666664,84.83847941567065,88.4716427098836,79.2164431313783,77.37777777777778
nearood,74.6888888888889,70.60647804116866,70.69386964323637,67.98514559942753,77.37777777777778
mnist,2.1999999999999997,99.45682634920635,97.643297997056,99.9137247846484,77.37777777777778
svhn,24.7,90.71130488970839,87.10967010491468,93.67246670323186,77.37777777777778
texture,84.77777777777777,81.46231087470449,81.44300663176,79.06095683123712,77.37777777777778
places365,69.6,78.79260043361397,51.85952383462313,92.53363739627846,77.37777777777778
farood,45.31944444444444,87.6057606368083,79.51387464208845,91.29519642884895,77.37777777777778
