,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,76.43333333333334,70.6526709750567,34.42166630714804,91.26674887005197,83.64444444444445
ninco,64.73333333333333,76.94790875243332,84.56185666851307,63.907747277072026,83.64444444444445
nearood,70.58333333333333,73.80028986374501,59.49176148783055,77.587248073562,83.64444444444445
inaturalist,43.766666666666666,84.86450611111111,86.29193927026846,80.98230507032471,83.64444444444445
textures,46.67777777777778,91.60121770025839,93.11307639057932,87.88634980267128,83.64444444444445
openimage_o,59.766666666666666,80.63131017147339,73.21342244276593,86.19105167894942,83.64444444444445
farood,50.07037037037038,85.6990113276143,84.2061460345379,85.0199021839818,83.64444444444445
