,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar100,32.25555555555555,91.9300339506173,92.31327395231187,91.02349543571812,95.22222222222221
tin,15.722222222222223,96.39515020602535,97.13042919125814,95.44329606473788,95.22222222222221
nearood,23.988888888888887,94.16259207832131,94.72185157178501,93.233395750228,95.22222222222221
mnist,3.277777777777778,99.27694373015872,97.06385196089478,99.89155053822716,95.22222222222221
svhn,6.177777777777778,98.48407366147647,97.23967957843412,99.32361813527939,95.22222222222221
texture,15.033333333333335,96.97372044917259,97.85936020431963,95.8408328496146,95.22222222222221
places365,14.555555555555555,96.7823166169437,92.09306931781677,99.01371355949556,95.22222222222221
farood,9.761111111111113,97.87926361443787,96.06399026536631,98.51742877065416,95.22222222222221
